Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite_Pelanggan,,,,2022-04-23 12:00:39,2022-04-23 12:00:57,18.233s,FAILED
,,,,,,,
Test Cases/Pelanggan/TC_01_Tambah data pelanggan,,,,2022-04-23 12:00:39,2022-04-23 12:00:54,15.102s,FAILED
"startExistingApplication(""com.cancreative.laundrypos"")",,,,2022-04-23 12:00:40,2022-04-23 12:00:53,13.904s,PASSED
"tap(findTestObject(""Object Repository/Tambah data pelanggan/android.widget.ImageView""), 0)",,,,2022-04-23 12:00:53,2022-04-23 12:00:54,0.666s,FAILED
,,,,,,,
Test Cases/Pelanggan/TC_02_Search nama pelanggan,,,,2022-04-23 12:00:54,2022-04-23 12:00:55,0.854s,FAILED
"setText(findTestObject(""Object Repository/Search/android.widget.EditText - Cari Pelanggan""), ""aurora"", 0)",,,,2022-04-23 12:00:54,2022-04-23 12:00:55,0.526s,FAILED
,,,,,,,
Test Cases/Pelanggan/TC_03_Edit pelanggan,,,,2022-04-23 12:00:55,2022-04-23 12:00:56,0.977s,FAILED
"tap(findTestObject(""Object Repository/Edit pelanggan/android.widget.LinearLayout""), 0)",,,,2022-04-23 12:00:55,2022-04-23 12:00:56,0.514s,FAILED
,,,,,,,
Test Cases/Pelanggan/TC_04_Hapus pelanggan,,,,2022-04-23 12:00:56,2022-04-23 12:00:57,0.856s,FAILED
"setText(findTestObject(""Hapus pelanggan/android.widget.EditText - aurora""), ""fatwari"", 0)",,,,2022-04-23 12:00:56,2022-04-23 12:00:57,0.522s,FAILED
